Product_ID,Product_Name,Category,Price,Season,Difficulty,Sunlight,Days_To_Harvest,Inventory,Gross_Margin_Percent
P1276,Grape Organic,Fruit Plants,38.2,Spring,Intermediate,Partial Sun,62,1386,0.4
P1277,Gloves Pro,Garden Tools,13.97,Spring,Intermediate,Full Sun,N/A,1014,0.44
P1278,Grape Mix,Fruit Plants,14.64,Spring,Advanced,Partial Sun,30,1209,0.55
P1279,Deer Repellent Mix,Pest Control,18.85,Summer,Beginner,Indoor,N/A,708,0.56
P1280,Seed Tray Premium,Garden Tools,27.36,Spring,Beginner,Indoor,N/A,454,0.6
P1281,Phlox Heirloom,Perennials,9.81,Spring,Intermediate,Partial Sun,N/A,68,0.64
P1282,Aster Pro,Flower Seeds,7.34,Spring,Beginner,Full Sun,N/A,1171,0.59
P1283,Blueberry Pro,Fruit Plants,22.98,Spring,Beginner,Shade,33,1234,0.37
P1284,Pruner Classic,Garden Tools,21.09,Spring,Intermediate,Partial Sun,N/A,303,0.48
P1285,Cucumber Starter,Vegetable Seeds,3.72,Spring,Beginner,Indoor,35,329,0.52
P1286,Marigold Mix,Flower Seeds,8.87,Spring,Advanced,Shade,N/A,965,0.61
P1287,Compost Booster Premium,Soil & Fertilizer,20.53,Spring,Advanced,Shade,N/A,1478,0.58
P1288,Bone Meal Premium,Soil & Fertilizer,19.01,Spring,Beginner,Full Sun,N/A,1225,0.51
P1289,Slug Control Heirloom,Pest Control,9.86,Summer,Beginner,Full Sun,N/A,237,0.67
P1290,Japanese Beetle Trap Collection,Pest Control,20.24,Summer,Beginner,Full Sun,N/A,1058,0.63
P1291,Salvia Organic,Perennials,10.86,Spring,Beginner,Full Sun,N/A,1257,0.53
P1292,Tomato Feed Pro,Soil & Fertilizer,29.61,Spring,Intermediate,Full Sun,N/A,1306,0.67
P1293,Climbing Rose Classic,Roses,25.32,Spring,Beginner,Full Sun,N/A,1434,0.51
P1294,Metal Raised Bed Classic,Raised Beds,161.6,Early Spring,Intermediate,Full Sun,N/A,1168,0.64
P1295,Grape Mix,Fruit Plants,23.49,Spring,Beginner,Partial Sun,41,996,0.59
P1296,Hosta Premium,Perennials,11.21,Spring,Intermediate,Full Sun,N/A,779,0.52
P1297,Knock Out Rose Heirloom,Roses,31.14,Spring,Beginner,Full Sun,N/A,339,0.5
P1298,Raspberry Mix,Fruit Plants,35.66,Spring,Intermediate,Full Sun,48,1259,0.66
P1299,Metal Raised Bed Pro,Raised Beds,78.83,Early Spring,Beginner,Shade,N/A,1480,0.38
P1300,Phlox Classic,Perennials,22.13,Spring,Beginner,Full Sun,N/A,557,0.53
